0,1,2,3,4
38.0,85.0,33.69,23.89,4.0
35.0,85.0,33.69,23.89,4.0
34.0,85.0,33.69,23.89,4.0
33.0,85.0,33.69,23.89,4.0
34.0,85.0,33.69,23.89,4.0
34.0,85.0,33.69,23.89,4.0
34.0,84.0,33.69,23.89,4.0
34.0,85.0,33.69,23.89,4.0
24.0,85.0,33.69,23.89,2.0
23.0,85.0,33.69,23.89,2.0
23.0,85.0,33.69,23.89,2.0
22.0,85.0,33.69,23.89,2.0
20.0,85.0,33.69,23.89,2.0
21.0,85.0,33.69,23.89,2.0
25.0,85.0,33.69,23.89,3.0
23.0,86.0,33.69,23.89,3.0
24.0,85.0,33.69,23.89,3.0
23.0,85.0,33.69,23.89,3.0
22.0,85.0,33.69,23.89,3.0
25.0,85.0,33.69,23.89,3.0
33.0,86.0,33.69,23.89,2.0
35.0,87.0,33.69,23.89,2.0
30.0,86.0,33.69,23.89,2.0
30.0,87.0,33.69,23.89,2.0
28.0,87.0,33.69,23.89,2.0
37.0,87.0,33.69,23.89,2.0
37.0,87.0,33.69,23.89,2.0
36.0,88.0,33.69,23.89,2.0
35.0,88.0,33.69,23.89,2.0
35.0,89.0,33.69,23.89,2.0
36.0,89.0,33.69,23.89,2.0
35.0,89.0,33.69,23.89,2.0
29.0,89.0,33.69,23.89,2.0
24.0,89.0,33.69,23.89,2.0
24.0,89.0,33.69,23.89,2.0
23.0,89.0,33.7,23.89,2.0
23.0,89.0,33.7,23.89,2.0
22.0,89.0,33.7,23.89,2.0
22.0,89.0,33.7,23.89,1.0
23.0,89.0,33.7,23.89,1.0
23.0,89.0,33.7,23.89,1.0
21.0,89.0,33.7,23.89,1.0
21.0,89.0,33.7,23.89,1.0
21.0,89.0,33.7,23.89,1.0
22.0,90.0,33.7,23.89,1.0
23.0,90.0,33.7,23.89,1.0
22.0,89.0,33.7,23.89,1.0
22.0,90.0,33.7,23.89,1.0
25.0,90.0,33.7,23.89,1.0
22.0,84.0,33.7,23.89,1.0
20.0,84.0,33.7,23.89,3.0
21.0,84.0,33.7,23.89,3.0
20.0,83.0,33.7,23.89,3.0
19.0,83.0,33.7,23.89,3.0
23.0,83.0,33.7,23.89,3.0
21.0,83.0,33.7,23.89,3.0
20.0,83.0,33.7,23.89,1.0
19.0,82.0,33.7,23.89,1.0
19.0,83.0,33.7,23.89,1.0
20.0,82.0,33.7,23.89,1.0
23.0,82.0,33.7,23.89,1.0
20.0,82.0,33.7,23.89,1.0
17.0,81.0,33.7,23.89,5.0
17.0,81.0,33.7,23.89,5.0
17.0,81.0,33.7,23.89,5.0
16.0,81.0,33.7,23.89,5.0
16.0,81.0,33.7,23.89,5.0
15.0,81.0,33.7,23.89,5.0
16.0,81.0,33.7,23.89,25.0
18.0,81.0,33.7,23.89,25.0
18.0,81.0,33.7,23.89,25.0
17.0,81.0,33.7,23.89,25.0
17.0,81.0,33.7,23.89,25.0
14.0,81.0,33.7,23.89,25.0
14.0,81.0,33.7,23.89,6.0
18.0,81.0,33.7,23.89,6.0
17.0,81.0,33.7,23.89,6.0
17.0,81.0,33.7,23.89,6.0
16.0,81.0,33.7,23.89,6.0
14.0,81.0,33.7,23.89,6.0
16.0,81.0,33.7,23.89,1.0
19.0,82.0,33.7,23.89,1.0
16.0,81.0,33.7,23.89,1.0
15.0,81.0,33.7,23.89,1.0
14.0,81.0,33.7,23.89,1.0
15.0,81.0,33.7,23.89,1.0
13.0,81.0,33.7,23.89,1.0
14.0,81.0,33.7,23.89,1.0
15.0,81.0,33.7,23.89,1.0
14.0,81.0,33.7,23.89,1.0
15.0,80.0,33.7,23.89,1.0
16.0,80.0,33.7,23.89,1.0
15.0,80.0,33.7,23.89,2.0
17.0,81.0,33.7,23.89,2.0
17.0,81.0,33.7,23.89,2.0
18.0,81.0,33.7,23.89,2.0
14.0,81.0,33.7,23.89,2.0
16.0,82.0,33.7,23.89,2.0
17.0,81.0,33.7,23.89,3.0
16.0,82.0,33.7,23.89,3.0
16.0,82.0,33.7,23.89,3.0
17.0,82.0,33.7,23.89,3.0
18.0,82.0,33.7,23.89,3.0
17.0,82.0,33.7,23.89,3.0
20.0,83.0,33.7,23.89,1.0
23.0,83.0,33.7,23.89,1.0
21.0,83.0,33.7,23.89,1.0
20.0,83.0,33.7,23.89,1.0
21.0,83.0,33.7,23.89,1.0
22.0,84.0,33.7,23.89,1.0
20.0,84.0,33.7,23.89,1.0
23.0,84.0,33.7,23.89,1.0
24.0,84.0,33.7,23.89,1.0
26.0,85.0,33.7,23.89,1.0
29.0,86.0,33.7,23.89,1.0
29.0,86.0,33.7,23.89,1.0
28.0,85.0,33.7,23.89,2.0
25.0,85.0,33.7,23.89,2.0
29.0,84.0,33.7,23.89,2.0
25.0,84.0,33.7,23.89,2.0
24.0,84.0,33.7,23.89,2.0
24.0,84.0,33.7,23.89,2.0
20.0,84.0,33.7,23.89,3.0
21.0,84.0,33.7,23.89,3.0
24.0,84.0,33.7,23.89,3.0
20.0,84.0,33.7,23.89,3.0
21.0,84.0,33.7,23.89,3.0
19.0,84.0,33.7,23.9,3.0
20.0,84.0,33.7,23.9,1.0
22.0,85.0,33.7,23.9,1.0
23.0,84.0,33.7,23.9,1.0
19.0,84.0,33.7,23.9,1.0
19.0,83.0,33.7,23.9,1.0
18.0,83.0,33.7,23.9,1.0
20.0,83.0,33.7,23.9,1.0
22.0,82.0,33.7,23.9,1.0
33.0,82.0,33.7,23.9,1.0
31.0,83.0,33.7,23.9,1.0
24.0,83.0,33.7,23.9,1.0
24.0,83.0,33.7,23.9,1.0
23.0,83.0,33.7,23.9,3.0
25.0,83.0,33.7,23.9,3.0
22.0,83.0,33.7,23.9,3.0
22.0,83.0,33.7,23.9,3.0
21.0,83.0,33.7,23.9,3.0
21.0,83.0,33.7,23.9,3.0
21.0,84.0,33.7,23.9,1.0
21.0,84.0,33.7,23.9,1.0
21.0,84.0,33.7,23.9,1.0
19.0,84.0,33.7,23.9,1.0
19.0,83.0,33.7,23.9,1.0
19.0,83.0,33.7,23.9,1.0
17.0,83.0,33.7,23.9,3.0
17.0,83.0,33.7,23.9,3.0
18.0,82.0,33.7,23.9,3.0
17.0,82.0,33.7,23.9,3.0
22.0,83.0,33.7,23.9,3.0
26.0,83.0,33.7,23.9,3.0
26.0,84.0,33.71,23.9,2.0
30.0,84.0,33.71,23.9,2.0
31.0,84.0,33.71,23.9,2.0
30.0,84.0,33.71,23.9,2.0
29.0,84.0,33.71,23.9,2.0
29.0,84.0,33.71,23.9,2.0
30.0,84.0,33.71,23.9,3.0
